method,task_idx,task_name,metric,mean,ci_low,ci_high,n_seeds
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,same_family_recall,0.6506428571428572,0.5156410136986533,0.785644700587061,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,any_same_family,0.9941428571428572,0.9856484982304181,1.0,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,parent_selected,0.9932857142857142,0.9837246264814944,1.0,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,family_pure_support,0.9930000000000001,0.9847174883036607,1.0,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,jaccard_stability,0.9176557509890843,0.8415231589591985,0.99378834301897,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,cap_utilization,0.3256071428571428,0.2581318750424341,0.3930824106718515,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,raw_support_size,1.3024285714285713,1.0325275001697365,1.572329642687406,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,raw_same_family_precision,0.9994761904761905,0.9984495238095238,1.0,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,raw_same_family_recall,0.6506428571428572,0.5156410136986533,0.785644700587061,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,raw_parent_selected,0.9932857142857142,0.9837246264814944,1.0,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,raw_cap_utilization,0.3256071428571428,0.2581318750424341,0.3930824106718515,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,selected_similarity_mean,0.8698697500588167,0.8078498227163118,0.9318896774013217,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,raw_selected_similarity_mean,0.8698697500588167,0.8078498227163118,0.9318896774013217,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,threshold_qualified_count,1.3024285714285713,1.0325275001697365,1.572329642687406,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,first_correct_found,1.0,1.0,1.0,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,selection_events_until_first_correct,5.142857142857143,-1.7593936977503368,12.045107983464623,7
Mask-SC-4,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,steps_until_first_correct,2633.1428571428573,-900.8095732481725,6167.095287533887,7
Mask-SC-4,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,support_size,3.5545714285714283,3.2221635465950826,3.886979310547774,7
Mask-SC-4,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,support_fraction,0.29621428571428565,0.26851362888292357,0.32391494254564773,7
Mask-SC-4,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,same_family_precision,0.8575714285714285,0.7711508694819773,0.9439919876608798,7
Mask-SC-4,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,same_family_recall,0.994952380952381,0.9854917381114868,1.0,7
Mask-SC-4,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,any_same_family,1.0,1.0,1.0,7
Mask-SC-4,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,parent_selected,0.9998571428571429,0.9995771428571429,1.0,7
Mask-SC-4,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,family_pure_support,0.44485714285714284,0.11262250207847069,0.777091783635815,7
Mask-SC-4,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,jaccard_stability,0.9650602983936317,0.9353296723452414,0.994790924442022,7
Mask-SC-4,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,cap_utilization,0.8886428571428571,0.8055408866487707,0.9717448276369435,7
Mask-SC-4,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,raw_support_size,3.5545714285714283,3.2221635465950826,3.886979310547774,7
